consumidor,tipo_inmueble,moneda_region,mes,dia_semana,uso_horario_pico,cantidad_equipos,horas_alto_consumo,consumo_kwh,perfil_energetico
Usuario_769,Oficina,USD,3,3,0,17,5,599.16,Eficiente
Usuario_770,Comercio,CLP,6,4,1,26,13,1161.45,Ineficiente
Usuario_771,Apartamento,ARS,9,6,1,12,6,247.02,Eficiente
Usuario_772,Comercio,COP,5,4,1,26,12,1379.05,Ineficiente
Usuario_773,Apartamento,BRL,11,0,0,29,13,394.59,Eficiente
Usuario_774,Apartamento,USD,4,4,1,22,13,394.93,Moderado
Usuario_775,Casa,MXN,7,5,1,6,3,735.47,Ineficiente
Usuario_776,Comercio,CLP,7,0,1,15,6,636.45,Eficiente
Usuario_777,Casa,CLP,1,5,1,26,10,478.92,Moderado
Usuario_778,Oficina,PEN,10,0,0,12,11,748.66,Ineficiente
Usuario_779,Comercio,ARS,1,1,0,34,5,1623.09,Ineficiente
Usuario_780,Apartamento,USD,10,4,1,15,10,421.99,Ineficiente
Usuario_781,Apartamento,PEN,1,2,1,1,3,322.31,Ineficiente
Usuario_782,Casa,COP,7,2,0,26,10,769.95,Ineficiente
Usuario_783,Apartamento,CLP,1,5,0,6,9,236.27,Moderado
Usuario_784,Oficina,PEN,9,4,1,18,4,578.58,Moderado
Usuario_785,Apartamento,ARS,7,4,1,12,7,312.44,Eficiente
Usuario_786,Casa,CLP,2,4,1,8,13,646.36,Ineficiente
Usuario_787,Oficina,CLP,10,2,0,25,10,745.54,Moderado
Usuario_788,Comercio,BRL,4,6,1,30,11,1128.96,Moderado
Usuario_789,Comercio,CLP,1,3,1,5,7,813.39,Ineficiente
Usuario_790,Apartamento,PEN,12,1,0,27,6,737.02,Ineficiente
Usuario_791,Casa,PEN,5,1,1,26,11,399.35,Eficiente
Usuario_792,Oficina,USD,9,1,1,23,4,811.38,Ineficiente
Usuario_793,Oficina,MXN,12,5,0,13,8,883.37,Moderado
Usuario_794,Apartamento,MXN,12,1,0,14,4,531.91,Ineficiente
Usuario_795,Apartamento,BRL,4,6,0,10,13,222.52,Eficiente
Usuario_796,Casa,USD,2,5,0,32,10,1025.92,Ineficiente
Usuario_797,Casa,BRL,9,0,0,24,10,996.49,Ineficiente
Usuario_798,Oficina,ARS,10,6,1,12,13,763.86,Ineficiente
Usuario_799,Oficina,ARS,4,6,1,4,9,758.8,Ineficiente
Usuario_800,Comercio,ARS,9,0,1,26,11,1520.67,Ineficiente
Usuario_801,Apartamento,ARS,2,5,1,21,12,641.62,Ineficiente
Usuario_802,Casa,USD,11,1,1,7,6,305.53,Eficiente
Usuario_803,Oficina,CLP,5,1,1,16,5,664.84,Ineficiente
Usuario_804,Comercio,CLP,6,2,1,28,4,1003.5,Ineficiente
Usuario_805,Comercio,PEN,6,2,0,18,8,821.15,Eficiente
Usuario_806,Apartamento,CLP,3,4,0,7,12,331.97,Ineficiente
Usuario_807,Oficina,BRL,4,4,1,25,4,1288.87,Ineficiente
Usuario_808,Apartamento,BRL,12,1,1,1,3,480.0,Ineficiente
Usuario_809,Comercio,ARS,3,6,0,35,12,1132.8,Moderado
Usuario_810,Oficina,BRL,8,2,1,37,1,681.28,Eficiente
Usuario_811,Comercio,USD,12,1,1,17,8,1523.67,Ineficiente
Usuario_812,Casa,ARS,12,2,1,24,9,986.55,Ineficiente
Usuario_813,Oficina,COP,1,3,1,39,4,710.52,Eficiente
Usuario_814,Apartamento,BRL,5,2,1,33,8,883.3,Ineficiente
Usuario_815,Comercio,USD,7,4,1,10,3,1318.5,Ineficiente
Usuario_816,Oficina,ARS,11,4,1,5,2,664.59,Moderado
Usuario_817,Apartamento,COP,4,2,1,19,12,465.31,Ineficiente
Usuario_818,Oficina,CLP,11,3,1,29,13,658.14,Moderado
Usuario_819,Oficina,PEN,10,4,0,27,3,445.37,Eficiente
Usuario_820,Apartamento,BRL,1,1,0,17,12,459.44,Moderado
Usuario_821,Casa,MXN,3,3,1,5,8,629.18,Ineficiente
Usuario_822,Casa,USD,7,4,0,6,2,276.74,Eficiente
Usuario_823,Oficina,CLP,3,0,0,25,5,588.1,Eficiente
Usuario_824,Apartamento,MXN,12,2,1,9,3,385.46,Moderado
Usuario_825,Apartamento,USD,1,5,1,21,8,507.51,Ineficiente
Usuario_826,Comercio,BRL,9,2,1,9,12,1407.99,Ineficiente
Usuario_827,Apartamento,CLP,10,3,0,37,7,439.48,Eficiente
Usuario_828,Oficina,COP,8,4,1,6,8,544.88,Moderado
Usuario_829,Oficina,COP,7,2,1,1,1,820.44,Ineficiente
Usuario_830,Apartamento,COP,5,3,1,32,13,525.9,Moderado
Usuario_831,Comercio,COP,1,6,1,19,10,848.35,Moderado
Usuario_832,Apartamento,BRL,1,4,1,27,9,633.23,Ineficiente
Usuario_833,Comercio,ARS,4,1,0,25,7,733.45,Eficiente
Usuario_834,Apartamento,COP,2,3,0,34,13,461.24,Eficiente
Usuario_835,Oficina,COP,11,5,1,18,7,742.72,Moderado
Usuario_836,Apartamento,BRL,2,1,1,8,11,399.34,Ineficiente
Usuario_837,Comercio,CLP,8,2,0,32,4,1303.37,Ineficiente
Usuario_838,Oficina,USD,3,0,0,2,3,496.6,Eficiente
Usuario_839,Casa,COP,5,1,0,1,4,443.78,Moderado
Usuario_840,Casa,MXN,1,3,1,27,5,922.39,Ineficiente
Usuario_841,Comercio,COP,8,5,0,22,2,563.92,Eficiente
Usuario_842,Apartamento,USD,5,6,1,35,8,631.77,Ineficiente
Usuario_843,Apartamento,MXN,5,6,1,1,2,204.0,Eficiente
Usuario_844,Apartamento,ARS,8,1,0,3,4,418.99,Ineficiente
Usuario_845,Comercio,PEN,2,4,0,14,8,664.15,Eficiente
Usuario_846,Comercio,PEN,5,2,1,3,12,697.86,Moderado
Usuario_847,Casa,COP,8,5,1,24,1,390.03,Eficiente
Usuario_848,Apartamento,USD,4,5,1,1,3,364.09,Ineficiente
Usuario_849,Oficina,CLP,2,3,0,1,1,579.51,Moderado
Usuario_850,Comercio,PEN,10,1,1,6,4,849.44,Ineficiente
Usuario_851,Apartamento,ARS,2,5,0,4,1,212.65,Eficiente
Usuario_852,Oficina,PEN,3,5,1,7,3,713.05,Ineficiente
Usuario_853,Comercio,MXN,6,4,0,23,13,823.35,Eficiente
Usuario_854,Comercio,PEN,4,0,0,23,12,1258.07,Ineficiente
Usuario_855,Apartamento,COP,1,3,0,36,5,493.88,Eficiente
Usuario_856,Comercio,MXN,10,1,1,21,12,789.26,Eficiente
Usuario_857,Comercio,COP,10,6,1,5,9,494.6,Eficiente
Usuario_858,Apartamento,ARS,5,6,1,24,8,485.86,Moderado
Usuario_859,Casa,BRL,11,4,1,12,1,623.42,Moderado
Usuario_860,Oficina,BRL,10,1,1,5,11,431.38,Eficiente
Usuario_861,Comercio,MXN,9,5,1,36,3,1562.87,Ineficiente
Usuario_862,Oficina,COP,7,5,1,7,9,707.15,Ineficiente
Usuario_863,Casa,USD,3,1,0,13,2,510.47,Moderado
Usuario_864,Comercio,MXN,2,0,1,25,11,1238.77,Ineficiente
Usuario_865,Comercio,CLP,10,5,1,4,6,659.3,Moderado
Usuario_866,Apartamento,CLP,12,0,1,14,11,398.48,Ineficiente
Usuario_867,Comercio,BRL,2,3,0,4,6,762.91,Eficiente
Usuario_868,Comercio,BRL,6,6,0,18,9,791.94,Eficiente
Usuario_869,Casa,PEN,2,6,1,14,9,737.81,Ineficiente
Usuario_870,Casa,USD,12,1,1,13,4,807.23,Ineficiente
Usuario_871,Apartamento,CLP,11,1,1,36,7,445.0,Moderado
Usuario_872,Casa,BRL,11,4,1,30,12,616.49,Moderado
Usuario_873,Comercio,USD,3,6,1,26,9,1129.55,Ineficiente
Usuario_874,Oficina,PEN,3,4,0,29,6,701.47,Eficiente
Usuario_875,Oficina,CLP,6,6,1,28,12,407.5,Eficiente
Usuario_876,Oficina,CLP,4,4,1,25,13,476.38,Eficiente
Usuario_877,Oficina,COP,8,3,0,1,12,701.94,Ineficiente
Usuario_878,Casa,COP,10,0,1,20,1,674.15,Ineficiente
Usuario_879,Oficina,MXN,4,6,1,18,9,464.43,Eficiente
Usuario_880,Apartamento,USD,1,3,1,9,5,276.02,Moderado
Usuario_881,Oficina,CLP,4,1,1,20,2,493.66,Eficiente
Usuario_882,Comercio,CLP,4,5,1,21,13,993.6,Ineficiente
Usuario_883,Comercio,MXN,8,6,0,37,2,709.82,Eficiente
Usuario_884,Oficina,USD,12,6,1,6,13,443.73,Moderado
Usuario_885,Casa,BRL,6,2,0,28,7,964.26,Ineficiente
Usuario_886,Casa,BRL,4,5,0,39,1,618.48,Eficiente
Usuario_887,Comercio,USD,5,4,1,35,10,1227.69,Ineficiente
Usuario_888,Apartamento,COP,9,5,1,4,11,221.78,Moderado
Usuario_889,Comercio,ARS,10,4,1,15,7,630.9,Eficiente
Usuario_890,Oficina,BRL,7,1,1,6,8,637.64,Moderado
Usuario_891,Casa,CLP,7,2,1,33,7,840.29,Ineficiente
Usuario_892,Apartamento,BRL,3,3,1,32,7,831.49,Ineficiente
Usuario_893,Apartamento,CLP,10,5,1,16,2,447.94,Ineficiente
Usuario_894,Oficina,BRL,7,2,0,37,2,1095.39,Moderado
Usuario_895,Casa,PEN,7,3,1,13,6,628.96,Ineficiente
Usuario_896,Oficina,CLP,11,0,0,11,6,426.0,Eficiente
Usuario_897,Comercio,CLP,3,3,1,15,4,659.14,Eficiente
Usuario_898,Oficina,MXN,12,6,1,4,4,1052.78,Ineficiente
Usuario_899,Apartamento,BRL,5,0,1,8,5,208.91,Eficiente
Usuario_900,Comercio,ARS,1,2,1,35,4,849.82,Eficiente
Usuario_901,Apartamento,CLP,9,6,1,31,10,340.28,Moderado
Usuario_902,Apartamento,PEN,12,5,1,38,11,358.67,Eficiente
Usuario_903,Casa,COP,3,0,1,18,1,405.33,Eficiente
Usuario_904,Comercio,PEN,1,0,1,18,11,1090.85,Ineficiente
Usuario_905,Oficina,BRL,2,0,1,25,4,986.7,Ineficiente
Usuario_906,Comercio,CLP,12,0,0,32,10,1476.94,Ineficiente
Usuario_907,Casa,MXN,4,4,0,36,12,1039.98,Ineficiente
Usuario_908,Casa,USD,4,4,1,32,7,570.74,Moderado
Usuario_909,Apartamento,USD,6,5,1,20,4,326.58,Eficiente
Usuario_910,Oficina,BRL,1,5,1,25,1,946.38,Moderado
Usuario_911,Oficina,MXN,3,2,0,9,2,782.98,Moderado
Usuario_912,Comercio,CLP,11,4,0,15,7,640.63,Eficiente
Usuario_913,Apartamento,CLP,3,3,0,39,6,586.12,Moderado
Usuario_914,Comercio,CLP,3,1,0,38,9,912.1,Moderado
Usuario_915,Apartamento,BRL,3,2,0,34,3,680.17,Moderado
Usuario_916,Comercio,BRL,3,5,0,11,6,979.76,Eficiente
Usuario_917,Casa,CLP,9,5,1,21,3,417.0,Eficiente
Usuario_918,Casa,BRL,6,3,0,20,8,947.65,Ineficiente
Usuario_919,Oficina,MXN,4,0,1,2,13,809.16,Ineficiente
Usuario_920,Oficina,CLP,10,4,1,15,4,412.98,Eficiente
Usuario_921,Casa,COP,2,5,0,9,9,748.28,Ineficiente
Usuario_922,Comercio,PEN,11,2,1,25,8,929.75,Moderado
Usuario_923,Comercio,MXN,3,1,1,27,13,1574.36,Ineficiente
Usuario_924,Casa,COP,7,1,0,13,13,767.41,Ineficiente
Usuario_925,Apartamento,USD,3,3,0,32,12,488.0,Moderado
Usuario_926,Oficina,BRL,8,1,1,3,10,391.41,Eficiente
Usuario_927,Comercio,PEN,6,3,0,37,10,821.94,Eficiente
Usuario_928,Casa,CLP,2,3,1,3,4,441.92,Ineficiente
Usuario_929,Comercio,PEN,1,4,1,4,4,986.42,Ineficiente
Usuario_930,Oficina,ARS,7,2,0,19,8,707.57,Eficiente
Usuario_931,Apartamento,ARS,5,4,0,34,3,400.14,Eficiente
Usuario_932,Comercio,BRL,11,3,1,33,2,1659.93,Ineficiente
Usuario_933,Apartamento,BRL,10,5,1,26,7,813.75,Ineficiente
Usuario_934,Oficina,ARS,1,1,1,13,8,860.09,Ineficiente
Usuario_935,Casa,COP,6,5,0,11,12,354.9,Eficiente
Usuario_936,Casa,USD,2,5,1,24,2,543.71,Moderado
Usuario_937,Comercio,PEN,9,4,0,25,9,528.72,Eficiente
Usuario_938,Comercio,USD,3,2,1,10,3,1181.15,Ineficiente
Usuario_939,Apartamento,MXN,12,0,1,20,12,360.71,Eficiente
Usuario_940,Comercio,COP,11,1,1,9,4,953.68,Ineficiente
Usuario_941,Casa,CLP,5,0,1,32,9,476.71,Moderado
Usuario_942,Casa,CLP,8,1,1,31,8,621.18,Moderado
Usuario_943,Comercio,ARS,2,4,0,16,9,1310.76,Ineficiente
Usuario_944,Oficina,CLP,11,4,0,14,1,787.5,Ineficiente
Usuario_945,Apartamento,MXN,1,5,1,10,1,319.95,Moderado
Usuario_946,Oficina,COP,2,0,1,12,3,439.72,Eficiente
Usuario_947,Oficina,CLP,11,5,0,37,13,527.9,Eficiente
Usuario_948,Apartamento,ARS,12,4,1,3,2,463.0,Ineficiente
Usuario_949,Oficina,COP,6,3,0,28,9,1120.45,Ineficiente
Usuario_950,Casa,COP,8,1,1,18,6,621.1,Ineficiente
Usuario_951,Comercio,CLP,4,5,1,4,2,790.9,Ineficiente
Usuario_952,Casa,ARS,12,5,0,19,7,803.34,Ineficiente
Usuario_953,Oficina,COP,9,4,0,23,3,556.87,Eficiente
Usuario_954,Comercio,CLP,12,5,1,12,10,1247.66,Ineficiente
Usuario_955,Apartamento,PEN,5,1,1,2,8,228.41,Moderado
Usuario_956,Casa,PEN,4,6,0,27,7,528.63,Eficiente
Usuario_957,Casa,COP,6,4,0,14,1,542.79,Moderado
Usuario_958,Apartamento,PEN,5,2,0,20,5,233.55,Eficiente
Usuario_959,Oficina,BRL,1,0,0,22,7,714.85,Eficiente
Usuario_960,Casa,BRL,3,1,1,22,11,844.57,Ineficiente
Usuario_961,Comercio,ARS,1,5,1,10,11,673.72,Eficiente
Usuario_962,Comercio,BRL,9,2,1,27,12,1322.5,Ineficiente
Usuario_963,Casa,BRL,9,2,1,21,9,525.47,Moderado
Usuario_964,Casa,MXN,10,5,1,23,2,607.53,Moderado
Usuario_965,Apartamento,COP,1,2,0,35,3,536.55,Eficiente
Usuario_966,Comercio,MXN,10,0,0,20,12,945.16,Moderado
Usuario_967,Oficina,PEN,1,2,1,32,4,1089.44,Ineficiente
Usuario_968,Oficina,ARS,5,1,1,12,2,588.15,Eficiente
Usuario_969,Oficina,BRL,1,6,1,6,8,882.08,Ineficiente
Usuario_970,Casa,BRL,8,4,1,22,8,679.2,Moderado
Usuario_971,Oficina,BRL,6,1,0,7,9,843.12,Ineficiente
Usuario_972,Apartamento,MXN,12,0,1,34,2,999.97,Ineficiente
Usuario_973,Casa,COP,1,5,0,6,6,640.41,Ineficiente
Usuario_974,Comercio,USD,2,4,0,20,1,805.98,Eficiente
Usuario_975,Oficina,PEN,4,2,1,19,5,390.95,Eficiente
Usuario_976,Oficina,BRL,8,5,1,10,3,600.14,Eficiente
Usuario_977,Oficina,USD,1,4,1,7,4,764.13,Ineficiente
Usuario_978,Oficina,CLP,6,2,1,19,10,382.26,Eficiente
Usuario_979,Apartamento,MXN,2,2,0,22,9,574.18,Ineficiente
Usuario_980,Comercio,USD,3,0,1,4,2,876.09,Ineficiente
Usuario_981,Comercio,USD,2,3,1,39,10,1087.27,Ineficiente
Usuario_982,Comercio,CLP,6,2,1,13,12,991.99,Ineficiente
Usuario_983,Casa,BRL,8,4,1,30,2,500.27,Eficiente
Usuario_984,Comercio,COP,11,5,0,30,8,666.36,Eficiente
Usuario_985,Apartamento,MXN,3,6,0,17,6,543.76,Moderado
Usuario_986,Comercio,MXN,12,5,1,21,8,1257.55,Ineficiente
Usuario_987,Comercio,USD,2,3,1,31,8,1404.62,Ineficiente
Usuario_988,Apartamento,COP,6,4,1,33,2,525.9,Moderado
Usuario_989,Comercio,BRL,12,6,1,36,11,1154.02,Moderado
Usuario_990,Casa,BRL,5,4,1,38,7,1113.71,Ineficiente
Usuario_991,Apartamento,CLP,4,4,1,31,7,589.43,Ineficiente
Usuario_992,Casa,COP,4,6,0,28,13,780.31,Ineficiente
Usuario_993,Comercio,CLP,6,4,0,12,11,624.8,Eficiente
Usuario_994,Casa,PEN,12,4,0,8,10,538.34,Ineficiente
Usuario_995,Comercio,COP,9,0,0,12,5,803.18,Eficiente
Usuario_996,Comercio,USD,10,0,0,39,13,699.88,Eficiente
Usuario_997,Comercio,COP,8,5,0,6,4,1191.7,Ineficiente
Usuario_998,Apartamento,CLP,11,6,1,10,11,198.94,Eficiente
Usuario_999,Apartamento,ARS,9,2,1,37,8,879.91,Ineficiente
Usuario_1000,Apartamento,MXN,11,2,1,20,7,457.1,Moderado
